"Date","Name","qb_l","qb_r","qb_t"
2018-12-11,"Gary Clark",30,30,60
2018-12-11,"Eric Gordon",27,30,57
2018-12-11,"Danuel House",27,27,54
2018-12-11,"Clint Capela",21,17,38
2018-12-08,"Gerald Green",23,28,51
2018-12-08,"Gary Clark",28,28,56
2018-12-08,"Eric Gordon",28,28,56
2018-12-06,"PJ Tucker",25,25,50
2018-12-06,"Eric Gordon",25,29,54
2018-12-06,"Gary Clark",30,30,60
2018-12-03,"James Harden",26,27,53
2018-12-03,"Isaiah Hartenstein",22,12,34
2018-12-03,"Gary Clark",29,30,59
2018-12-03,"Eric Gordon",27,30,57
2018-12-03,"Clint Capela",21,9,30
2018-12-01,"Gary Clark",27,28,55
2018-12-01,"Gerald Green",26,32,58
2018-12-01,"Isaiah Hartenstein",20,19,39
2018-12-01,"Eric Gordon",27,29,56
2018-11-30,"James Harden",26,26,52
2018-11-30,"PJ Tucker",25,25,50
2018-11-30,"Eric Gordon",28,29,57
2018-11-30,"Isaiah Hartenstein",21,14,35
2018-11-30,"Clint Capela",24,22,46
2018-11-28,"Gerald Green",26,28,54
2018-11-28,"Isaiah Hartenstein",21,14,35
2018-11-28,"Clint Capela",29,22,51
2018-11-28,"Eric Gordon",25,27,52
2018-11-26,"Eric Gordon",23,27,50
2018-11-26,"Gary Clark",28,28,56
2018-11-26,"Isaiah Hartenstein",17,13,30
2018-11-26,"Clint Capela",23,12,35
2018-11-24,"Clint Capela",23,19,42
2018-11-24,"Eric Gordon",29,26,55
2018-11-24,"Isaiah Hartenstein",20,18,38
2018-11-23,"Clint Capela",27,24,51
2018-11-23,"Eric Gordon",23,26,49
2018-11-23,"PJ Tucker",26,25,51
2018-11-23,"Isaiah Hartenstein",24,24,48
2018-11-21,"Clint Capela",29,21,50
2018-11-21,"Eric Gordon",24,28,52
2018-11-21,"Isaiah Hartenstein",20,15,35
2018-11-21,"Gary Clark",30,29,59
2018-11-17,"Clint Capela",30,19,49
2018-11-17,"James Harden",28,28,56
2018-11-17,"Eric Gordon",21,29,50
2018-11-17,"Isaiah Hartenstein",24,17,41
2018-11-17,"Gary Clark",27,30,57
2018-11-15,"Eric Gordon",30,28,58
2018-11-15,"Isaiah Hartenstein",23,21,44
2018-11-13,"Clint Capela",26,26,52
2018-11-13,"Eric Gordon",26,29,55
2018-11-13,"PJ Tucker",28,26,54
2018-11-13,"Isaiah Hartenstein",22,14,36
2018-11-10,"Clint Capela",26,24,50
2018-11-10,"Eric Gordon",29,29,58
2018-11-10,"PJ Tucker",26,26,52
2018-11-10,"Isaiah Hartenstein",20,21,41
2018-11-08,"Clint Capela",30,23,53
2018-11-08,"James Harden",26,27,53
2018-11-08,"Isaiah Hartenstein",19,22,41
2018-11-05,"Clint Capela",25,21,46
2018-11-05,"Isaiah Hartenstein",18,18,36
2018-11-05,"Gerald Green",29,29,58
2018-11-02,"Clint Capela",27,26,53
2018-11-02,"James Harden",28,28,56
2018-11-02,"Eric Gordon",29,29,58
2018-11-02,"PJ Tucker",27,27,54
2018-11-02,"Isaiah Hartenstein",21,17,38
2018-11-02,"Gerald Green",19,22,41
2018-10-30,"Clint Capela",32,25,57
2018-10-30,"Eric Gordon",24,27,51
2018-10-30,"PJ Tucker",27,27,54
2018-10-30,"Isaiah Hartenstein",24,19,43
2018-10-24,"Clint Capela",32,26,58
2018-10-24,"Eric Gordon",25,28,53
2018-10-24,"Isaiah Hartenstein",22,21,43
2018-10-24,"Gary Clark",26,27,53
2018-10-21,"Clint Capela",26,NA,26
